date,source_file,food,amount,amount (g),calories,carbs (grams),fat (grams),protein (grams),cholesterol (mg),sodium (mg),sugar (grams),fiber (grams)
"Jun 3, 2025",06010714,Signature Select - Clover Honey,89 g,89.0,254,72,0,0,0,0,72,0
"Jun 3, 2025",06010714,Libby's - Pure Pumpkin,388 g,388.0,143,32,2,3,0,16,16,10
"Jun 3, 2025",06010714,Essential Everyday - Peach Slices,297 g,297.0,144,34,0,0,0,0,26,2
"Jun 3, 2025",06010714,Santitas Tortilla Chips - Tortilla Chips,29 gram,29.0,143,19,6,2,0,118,0,2
"Jun 3, 2025",06010714,"G Hughes - BBQ Sauce, Hickory",90 g,90.0,30,6,0,0,0,600,0,0
"Jun 3, 2025",06010714,"White rice, cooked",439 g,439.0,566,123,1,12,0,1076,0,2
"Jun 3, 2025",06010714,"Chicken breast, grilled, skinless",100 g,100.0,176,0,5,30,96,353,0,0
"Jun 3, 2025",06010714,"Chicken breast, grilled, skinless",110 g,110.0,194,0,6,33,106,388,0,0
"Jun 3, 2025",06010714,Generic - Baby carrots,109 g,109.0,45,10,0,1,0,75,5,3
"Jun 3, 2025",06010714,"White rice, cooked",161 g,161.0,208,45,0,4,0,394,0,1
"Jun 3, 2025",06010714,Mid East - Fava Beans,94 g,94.0,65,12,0,5,0,145,1,4
"Jun 3, 2025",06010714,"Chicken breast, grilled, skinless",130 g,130.0,229,0,7,38,125,459,0,0
"Jun 3, 2025",06010714,"Kale, raw",115 gram,115.0,40,5,2,3,0,61,1,5
"Jun 3, 2025",06010714,Mid East - Fava Beans,258 g,258.0,179,32,0,14,0,397,4,10
"Jun 3, 2025",06010714,Optimum Nutrition - Protein,1 Scoop,,120,3,1,24,30,130,1,0
"Jun 4, 2025",06010714,Fareway - Sliced Peaches,147 g,147.0,71,17,0,1,0,0,13,1
"Jun 4, 2025",06010714,"Vicolo - Pizza, Italian Sausage",1 pizza,,1364,136,73,45,91,1879,9,3
"Jun 4, 2025",06010714,Fage - Total 0% Greek Yogurt,180 g,180.0,96,6,0,19,12,66,6,0
"Jun 4, 2025",06010714,"G Hughes - BBQ Sauce, Hickory",48 g,48.0,16,3,0,0,0,320,0,0
"Jun 4, 2025",06010714,Mid East - Fava Beans,133 g,133.0,92,16,0,7,0,205,2,5
"Jun 4, 2025",06010714,Essential Everyday - Peas & Diced Carrots,106 g,106.0,51,8,0,2,0,254,4,3
"Jun 4, 2025",06010714,"White rice, cooked",472 g,472.0,609,132,1,13,0,1156,0,2
"Jun 4, 2025",06010714,Mid East - Fava Beans,146 g,146.0,101,18,0,8,0,225,2,6
"Jun 4, 2025",06010714,Essential Everyday - Peas & Diced Carrots,176 g,176.0,84,14,0,3,0,422,7,4
"Jun 4, 2025",06010714,"Chicken breast, grilled, skinless",92 g,92.0,162,0,5,27,88,325,0,0
"Jun 4, 2025",06010714,Optimum Nutrition - Protein,2 Scoop,,240,6,2,48,60,260,2,0
"Jun 5, 2025",06010714,Essential Everyday - Peach Slices,181 g,181.0,88,20,0,0,0,0,16,1
"Jun 5, 2025",06010714,Signature Select - Clover Honey,70 g,70.0,200,57,0,0,0,0,57,0
"Jun 5, 2025",06010714,"G Hughes - BBQ Sauce, Hickory",121 g,121.0,40,8,0,0,0,807,0,0
"Jun 5, 2025",06010714,Essential Everyday - Peas & Diced Carrots,164 g,164.0,79,13,0,3,0,394,7,4
"Jun 5, 2025",06010714,"Kale, raw",153 gram,153.0,54,7,2,4,0,81,1,6
"Jun 5, 2025",06010714,Mid East - Fava Beans,455 g,455.0,315,56,0,25,0,700,7,18
"Jun 5, 2025",06010714,O Organics - Organic California Style Vegetables,650 g,650.0,227,38,0,15,0,227,15,15
"Jun 5, 2025",06010714,Essential Everyday - Peas & Diced Carrots,130 g,130.0,62,10,0,2,0,312,5,3
"Jun 5, 2025",06010714,DeLallo - Butter Beans,265 g,265.0,204,37,0,12,0,795,4,10
"Jun 5, 2025",06010714,"Chicken breast, grilled, skinless",160 g,160.0,282,0,9,47,154,565,0,0
"Jun 5, 2025",06010714,"G Hughes - BBQ Sauce, Hickory",57 g,57.0,19,4,0,0,0,380,0,0
"Jun 5, 2025",06010714,"Kale, raw",69 gram,69.0,24,3,1,2,0,37,1,3
"Jun 5, 2025",06010714,O Organics - Organic California Style Vegetables,269 g,269.0,94,16,0,6,0,94,6,6
"Jun 5, 2025",06010714,"Chicken breast, grilled, skinless",108 g,108.0,190,0,6,32,104,381,0,0
"Jun 5, 2025",06010714,"White rice, cooked",151 g,151.0,195,42,0,4,0,370,0,1
"Jun 5, 2025",06010714,Optimum Nutrition - Protein,2 Scoop,,240,6,2,48,60,260,2,0
"Jun 6, 2025",06010714,Outsiders Pizza Company - Detroit Style Pizza,1 slice,,420,30,26,17,45,640,2,1
"Jun 6, 2025",06010714,Outsiders Pizza Company - Detroit Style Pizza,2 slice,,840,60,52,34,90,1280,4,2
"Jun 6, 2025",06010714,"Kale, raw",82 gram,82.0,29,4,1,2,0,43,1,3
"Jun 6, 2025",06010714,"Chicken breast, grilled, skinless",135 g,135.0,238,0,7,40,130,477,0,0
"Jun 6, 2025",06010714,"Spinach, raw, fresh",88 gram,88.0,20,3,0,3,0,70,0,2
"Jun 6, 2025",06010714,Del Cabo - Sugar Plum Grape Tomatoes,35 g,35.0,6,1,0,0,0,2,1,0
"Jun 6, 2025",06010714,"Chicken breast, grilled, skinless",199 g,199.0,350,0,11,59,191,702,0,0
"Jun 6, 2025",06010714,Optimum Nutrition - Protein,2 Scoop,,240,6,2,48,60,260,2,0
"Jun 7, 2025",06010714,Nabisco - Oreo fresh stack,2 Stack,,540,82,22,4,0,440,46,2
"Jun 7, 2025",06010714,Fairlife - Fat Free Ultra-Filtered Milk,599 milliliter,599.0,200,15,0,32,12,300,15,0
"Jun 7, 2025",06010714,Asparagus,211 gram,211.0,42,8,0,5,0,4,4,4
"Jun 7, 2025",06010714,Safeway - Ribeye,162 G,162.0,444,0,36,36,0,0,0,0
"Jun 7, 2025",06010714,Signature Select - Artisan Garlic Bread,52.6 g,52.6,186,20,9,5,0,306,0,1
"Jun 7, 2025",06010714,Sparkling Ice - Sparkling Ice Black Raspberry,34 oz,963.9000000000001,10,0,0,0,0,0,0,0
"Jun 7, 2025",06010714,Kikkoman - Soy Sauce,15 ml,15.0,10,1,0,2,0,920,1,0
"Jun 7, 2025",06010714,Nabisco - Oreo fresh stack,0.4 Stack,,108,16,4,1,0,88,9,0
"Jun 7, 2025",06010714,Sunset - Wild Wonders Gourmet Medley,126 g,126.0,23,5,0,1,0,6,3,1
"Jun 7, 2025",06010714,"Chicken breast, grilled, skinless",198 g,198.0,348,0,11,59,190,699,0,0
"Jun 7, 2025",06010714,Optimum Nutrition - Protein,2 Scoop,,240,6,2,48,60,260,2,0
"Jun 8, 2025",06010714,Nabisco - Oreo fresh stack,1 Stack,,270,41,11,2,0,220,23,1
"Jun 8, 2025",06010714,"Signature Select - Garlic Chili, Crunch Oil",7 g,7.0,47,2,4,0,0,51,0,0
"Jun 8, 2025",06010714,"G Hughes - BBQ Sauce, Hickory",90 g,90.0,30,6,0,0,0,600,0,0
"Jun 8, 2025",06010714,Sunset - Wild Wonders Gourmet Medley,57 g,57.0,10,2,0,1,0,3,2,1
"Jun 8, 2025",06010714,"White rice, cooked",247 g,247.0,319,69,1,7,0,605,0,1
"Jun 8, 2025",06010714,Asparagus,94 gram,94.0,19,4,0,2,0,2,2,2
"Jun 8, 2025",06010714,Signature Select - Artisan Garlic Bread,154.5 g,154.5,545,60,27,14,0,899,0,3
"Jun 8, 2025",06010714,Safeway - Ribeye,186 G,186.0,510,0,41,41,0,0,0,0
"Jun 8, 2025",06010714,"Azumaya - Tofu, Extra Firm",7.5 oz,212.625,200,5,10,20,0,13,3,1
"Jun 8, 2025",06010714,Fage - Total 0% Greek Yogurt,20 g,20.0,11,1,0,2,1,7,1,0
"Jun 8, 2025",06010714,Bragg - Nutritional Yeast,5 gram,5.0,20,2,0,3,0,0,0,1
"Jun 8, 2025",06010714,Optimum Nutrition - Protein,1 Scoop,,120,3,1,24,30,130,1,0
"Jun 8, 2025",06010714,Fage - Total 0% Greek Yogurt,260 g,260.0,139,9,0,28,17,95,9,0
"Jun 8, 2025",06010714,Fage - Total 0% Greek Yogurt,165 g,165.0,88,6,0,18,11,61,6,0
"Jun 8, 2025",06010714,Sunset - Wild Wonders Gourmet Medley,184 g,184.0,33,7,0,2,0,9,5,2
"Jun 8, 2025",06010714,Broccoli,110 g,110.0,43,7,0,3,0,40,2,3
"Jun 8, 2025",06010714,"Lentils, cooked",160 g,160.0,184,32,1,14,0,373,3,13
"Jun 9, 2025",06010714,"Spinach, raw, fresh",74 gram,74.0,17,3,0,2,0,58,0,2
"Jun 9, 2025",06010714,"Chicken breast, grilled, skinless",52 g,52.0,92,0,3,15,50,184,0,0
"Jun 9, 2025",06010714,Hannaford - Low Sodium Garbanzo Beans,270 g,270.0,249,42,4,12,0,291,6,8
"Jun 9, 2025",06010714,Optimum Nutrition - Protein,1 Scoop,,120,3,1,24,30,130,1,0
"Jun 9, 2025",06010714,Fage - Total 0% Greek Yogurt,235 g,235.0,125,8,0,25,16,86,8,0
"Jun 9, 2025",06010714,Sparkling Ice - Sparkling Ice Black Raspberry,17 oz,481.95000000000005,5,0,0,0,0,0,0,0
"Jun 9, 2025",06010714,Sunset - Wild Wonders Gourmet Medley,101 g,101.0,18,4,0,1,0,5,3,1
"Jun 9, 2025",06010714,Broccoli,116 g,116.0,45,7,0,3,0,42,2,3
"Jun 9, 2025",06010714,"Lentils, cooked",181 g,181.0,208,36,1,16,0,422,3,14
"Jun 9, 2025",06010714,Optimum Nutrition - Protein,1 Scoop,,120,3,1,24,30,130,1,0
"Jun 10, 2025",06010714,Signature Select - Clover Honey,20 g,20.0,57,16,0,0,0,0,16,0
"Jun 10, 2025",06010714,"Yam, baked",507 g,507.0,456,104,1,10,0,963,33,17
"Jun 10, 2025",06010714,Mid East - Fava Beans,327 g,327.0,226,40,0,18,0,503,5,13
"Jun 10, 2025",06010714,Bragg - Nutritional Yeast,10 gram,10.0,40,4,0,6,0,0,0,2
"Jun 10, 2025",06010714,Generic - Baby carrots,263 g,263.0,108,25,1,2,0,181,12,7
"Jun 10, 2025",06010714,Bragg - Nutritional Yeast,15 gram,15.0,60,6,0,9,0,0,0,3
"Jun 10, 2025",06010714,Generic - Baby carrots,242 g,242.0,99,23,1,2,0,167,11,7
"Jun 10, 2025",06010714,"Lentils, cooked",236 g,236.0,271,47,1,21,0,550,4,19
"Jun 10, 2025",06010714,"Chicken breast, grilled, skinless",215 g,215.0,378,0,12,64,206,759,0,0
"Jun 11, 2025",06010714,Bragg - Nutritional Yeast,5 gram,5.0,20,2,0,3,0,0,0,1
"Jun 11, 2025",06010714,Mid East - Fava Beans,291 g,291.0,201,36,0,16,0,448,4,11
"Jun 11, 2025",06010714,Hannaford - Low Sodium Garbanzo Beans,260 g,260.0,240,40,4,12,0,280,6,8
"Jun 11, 2025",06010714,Kellogg's - Eggo Waffle*,1 Waffles,,90,14,3,2,0,185,1,0
"Jun 11, 2025",06010714,"Yam, baked",427 g,427.0,384,88,1,9,0,811,28,14
"Jun 11, 2025",06010714,Signature Select - Clover Honey,45 g,45.0,129,36,0,0,0,0,36,0
"Jun 11, 2025",06010714,Signature Select - California Style Vegetables,511 g,511.0,180,30,0,12,0,180,12,12
"Jun 11, 2025",06010714,Sparkling Ice - Sparkling Ice Black Raspberry,17 oz,481.95000000000005,5,0,0,0,0,0,0,0
"Jun 11, 2025",06010714,Generic - Baby carrots,267 g,267.0,109,26,1,2,0,184,13,7
"Jun 11, 2025",06010714,Nectarine,2 fruit,,109,26,1,3,0,36,22,4
"Jun 11, 2025",06010714,"Chicken breast, grilled, skinless",126 g,126.0,222,0,7,37,121,445,0,0
"Jun 11, 2025",06010714,Bragg - Nutritional Yeast,21 gram,21.0,84,8,0,13,0,0,0,4
"Jun 11, 2025",06010714,Mid East - Fava Beans,267 g,267.0,185,33,0,14,0,411,4,10
"Jun 11, 2025",06010714,Optimum Nutrition - Protein,2 Scoop,,240,6,2,48,60,260,2,0
"Jun 12, 2025",06010714,Agave - Blue Agave,1.62 tablespoon,24.3,97,26,0,0,0,0,26,0
"Jun 12, 2025",06010714,Sweet potato,449 g,449.0,368,81,2,7,0,691,28,14
"Jun 12, 2025",06010714,"Red bell pepper, roasted",0.5 cup,120.0,39,5,2,1,2,101,3,2
"Jun 12, 2025",06010714,Del Cabo - Sugar Plum Grape Tomatoes,50 g,50.0,9,2,0,0,0,2,1,1
"Jun 12, 2025",06010714,Bacon bits,0.13 cup,31.200000000000003,67,4,4,4,0,248,0,1
"Jun 12, 2025",06010714,Onion,50 gram,50.0,20,5,0,1,0,2,2,1
"Jun 12, 2025",06010714,"Chicken breast, grilled, skinless",100 g,100.0,176,0,5,30,96,353,0,0
"Jun 12, 2025",06010714,Iceberg lettuce,100 g,100.0,20,4,0,1,0,23,1,1
"Jun 12, 2025",06010714,Quaker - Instant Oatmeal- Maple,2 packet,,320,64,4,8,0,520,24,6
"Jun 12, 2025",06010714,Signature Select - Artisan Garlic Bread,85 g,85.0,300,33,15,7,0,495,0,1
"Jun 12, 2025",06010714,Sparkling Ice - Sparkling Ice Black Raspberry,8.5 oz,240.97500000000002,3,0,0,0,0,0,0,0
"Jun 12, 2025",06010714,Bragg - Nutritional Yeast,14 gram,14.0,56,6,0,8,0,0,0,3
"Jun 12, 2025",06010714,Essential Everyday - Peach Slices,55 g,55.0,27,6,0,0,0,0,5,0
"Jun 12, 2025",06010714,Signature Select - California Style Vegetables,398 g,398.0,140,23,0,9,0,140,9,9
"Jun 12, 2025",06010714,Fairlife - Fat Free Ultra-Filtered Milk,283 milliliter,283.0,94,7,0,15,6,142,7,0
"Jun 12, 2025",06010714,Optimum Nutrition - Protein,2 Scoop,,240,6,2,48,60,260,2,0
"Jun 12, 2025",06010714,Generic - Baby carrots,119 g,119.0,49,11,0,1,0,82,6,3
"Jun 12, 2025",06010714,"Spinach, raw, fresh",96 gram,96.0,22,3,0,3,0,76,0,2
"Jun 13, 2025",06010714,Chomps - Meat Stick,1 stick,,100,0,7,10,30,380,0,0
"Jun 13, 2025",06010714,Chomps - Meat Stick,1 stick,,100,0,7,10,30,380,0,0
"Jun 13, 2025",06010714,"Chicken breast, grilled, skinless",135 g,135.0,238,0,7,40,130,477,0,0
"Jun 13, 2025",06010714,Olive oil,0.5 tbsp,7.5,60,0,7,0,0,0,0,0
"Jun 13, 2025",06010714,trader Joe's - vegetable stir fry,8 oz,226.8,120,14,0,6,0,860,14,4
"Jun 13, 2025",06010714,Red bell pepper,109 g,109.0,34,7,0,1,0,0,5,1
"Jun 13, 2025",06010714,Oikos - Oikos Triple Zero Peach,150 g,150.0,90,7,0,15,10,55,5,0
"Jun 13, 2025",06010714,Slate - Milk Chocolate Mix,0.5 stick,,50,1,0,10,5,80,0,1
"Jun 13, 2025",06010714,Peach,253 gram,253.0,106,26,1,2,0,33,21,4
"Jun 13, 2025",06010714,Celery,161 g,161.0,23,5,0,1,0,129,2,3
"Jun 13, 2025",06010714,Banana,86 g,86.0,83,20,0,1,0,0,14,1
"Jun 13, 2025",06010714,Orange,90 gram,90.0,42,11,0,1,0,0,8,2
"Jun 13, 2025",06010714,california lavash - lavash bread,1 sheet,,140,27,1,5,0,140,1,2
"Jun 13, 2025",06010714,Salad greens - Mixed Greens,2.5 cup,600.0,50,8,0,5,0,125,3,3
"Jun 13, 2025",06010714,"Chicken breast, grilled, skinless",100 g,100.0,176,0,5,30,96,353,0,0
"Jun 13, 2025",06010714,Monster - Zero Ultra,473 ml,473.0,10,6,0,0,0,370,0,0
"Jun 13, 2025",06010714,Optimum Nutrition - Protein,1 Scoop,,120,3,1,24,30,130,1,0
"Jun 13, 2025",06010714,Slate - Milk Chocolate Mix,1 stick,,100,2,1,20,10,160,0,1
"Jun 14, 2025",06010714,Angie's (HJC) - Boom Chicka Pop - Pop Corn,83 gram,83.0,415,53,24,3,0,326,24,6
"Jun 14, 2025",06010714,"Chicken breast, grilled, skinless",98 g,98.0,172,0,5,29,94,346,0,0
"Jun 14, 2025",06010714,Slate - Milk Chocolate Mix,1.5 stick,,150,3,1,30,15,240,0,2
"Jun 14, 2025",06010714,BBQ sauce,2 tbsp,30.0,58,14,0,0,0,350,11,0
"Jun 14, 2025",06010714,Kroger - Cole Slaw,0.5 cup,120.0,170,15,12,1,5,450,13,2
"Jun 14, 2025",06010714,Tesco pork tomahawk chops - Pork chops,240 g,240.0,320,2,13,49,0,0,0,0
"Jun 14, 2025",06010714,Banana,1 medium,,114,27,0,1,0,0,19,2
"Jun 14, 2025",06010714,Kora Organics - supplement ,6 g,6.0,10,2,0,0,0,1,0,1
"Jun 14, 2025",06010714,"Chicken breast, grilled, skinless",151 g,151.0,266,0,8,45,145,533,0,0
"Jun 14, 2025",06010714,Onion,110 gram,110.0,44,10,0,1,0,4,5,2
"Jun 14, 2025",06010714,"Spinach, raw, fresh",79 gram,79.0,18,3,0,2,0,62,0,2
"Jun 14, 2025",06010714,Monster - Zero Ultra,473 ml,473.0,10,6,0,0,0,370,0,0
"Jun 15, 2025",06010714,"Chicken breast, grilled, skinless",100 g,100.0,176,0,5,30,96,353,0,0
"Jun 15, 2025",06010714,Banana,1 medium,,114,27,0,1,0,0,19,2
"Jun 15, 2025",06010714,Oikos - Oikos Triple Zero Peach,150 g,150.0,90,7,0,15,10,55,5,0
"Jun 15, 2025",06010714,Celery,238 g,238.0,33,7,0,2,0,190,3,4
"Jun 15, 2025",06010714,Bell pepper,85 g,85.0,19,4,0,1,0,3,3,2
"Jun 15, 2025",06010714,Carrots,105 gram,105.0,43,10,0,1,0,72,5,3
"Jun 15, 2025",06010714,"Chicken breast, grilled, skinless",237 g,237.0,417,0,13,70,228,837,0,0
"Jun 15, 2025",06010714,Watermelon,324 g,324.0,97,24,0,2,0,3,20,1
"Jun 15, 2025",06010714,"Guacamole, homemade",91 g,91.0,141,8,13,2,0,313,1,6
"Jun 15, 2025",06010714,Carrots,160 gram,160.0,66,15,0,1,0,110,8,4
"Jun 15, 2025",06010714,Roasted turkey - Roasted turkey,242 gram,242.0,149,0,3,26,0,248,0,0
"Jun 15, 2025",06010714,Cucumber,145 g,145.0,22,5,0,1,0,3,2,1
"Jun 15, 2025",06010714,Bell pepper,144 g,144.0,32,7,0,1,0,4,4,3
"Jun 15, 2025",06010714,Banana,1 medium,,114,27,0,1,0,0,19,2
"Jun 15, 2025",06010714,Monster - Zero Ultra,473 ml,473.0,10,6,0,0,0,370,0,0
"Jun 16, 2025",06010714,Quaker - Instant Oatmeal- Maple,1 packet,,160,32,2,4,0,260,12,3
"Jun 16, 2025",06010714,Bee Free - Warrior Mix Snack Mix,0.75 cup,180.0,450,27,36,12,0,60,18,6
"Jun 16, 2025",06010714,Kroger - California Style Vegetables,291 g,291.0,98,16,0,3,0,98,7,7
"Jun 16, 2025",06010714,Chomps - Meat Stick,2 stick,,200,0,14,20,60,760,0,0
"Jun 16, 2025",06010714,Orange,102 gram,102.0,48,12,0,1,0,0,10,2
"Jun 16, 2025",06010714,Watermelon,460 g,460.0,138,35,1,3,0,5,29,2
"Jun 16, 2025",06010714,"Chicken breast, grilled, skinless",322 g,322.0,567,0,18,95,309,1137,0,0
"Jun 16, 2025",06010714,Outshine - Popscicle Tangerine,2 bar,,50,12,0,0,0,0,6,0
"Jun 16, 2025",06010714,Olive oil,1 tbsp,15.0,119,0,14,0,0,0,0,0
"Jun 16, 2025",06010714,Egg,3 egg,,215,1,15,19,617,194,0,0
"Jun 16, 2025",06010714,Orange,97 gram,97.0,46,11,0,1,0,0,9,2
"Jun 16, 2025",06010714,Monster - Zero Ultra,473 ml,473.0,10,6,0,0,0,370,0,0
"Jun 17, 2025",06010714,Vanilla extract,0.5 tsp,2.5,6,0,0,0,0,0,0,0
"Jun 17, 2025",06010714,Fage - Total 0% Greek Yogurt,134 g,134.0,71,4,0,14,9,49,4,0
"Jun 17, 2025",06010714,"Chicken breast, grilled, skinless",100 g,100.0,176,0,5,30,96,353,0,0
"Jun 17, 2025",06010714,Bragg - Nutritional Yeast,5 gram,5.0,20,2,0,3,0,0,0,1
"Jun 17, 2025",06010714,Kroger - California Style Vegetables,816 g,816.0,275,46,0,9,0,275,18,18
"Jun 17, 2025",06010714,Generic - Baby carrots,124 g,124.0,51,12,0,1,0,86,6,3
"Jun 17, 2025",06010714,Fage - Total 0% Greek Yogurt,350 g,350.0,187,12,0,37,23,128,12,0
"Jun 17, 2025",06010714,Carrots,302 gram,302.0,124,29,1,3,0,208,14,8
"Jun 17, 2025",06010714,"Chicken breast, grilled, skinless",190 g,190.0,334,0,10,56,182,671,0,0
"Jun 17, 2025",06010714,Cucumber,384 g,384.0,58,14,0,2,0,8,6,2
"Jun 17, 2025",06010714,Broccoli,269 g,269.0,105,17,1,7,0,97,4,6
"Jun 17, 2025",06010714,Optimum Nutrition - Protein,2 Scoop,,240,6,2,48,60,260,2,0
"Jun 18, 2025",06010714,Signature Select - Clover Honey,7 g,7.0,20,6,0,0,0,0,6,0
"Jun 18, 2025",06010714,Bob's Red Mill - Xantham Gum,9 gram,9.0,30,7,0,0,0,230,0,0
"Jun 18, 2025",06010714,Fage - Total 0% Greek Yogurt,176 g,176.0,94,6,0,19,12,65,6,0
"Jun 18, 2025",06010714,Signature Select - Mango Chunks,52 g,52.0,30,8,0,0,0,0,7,1
"Jun 18, 2025",06010714,Blueberries,85 gram,85.0,48,12,0,1,0,1,8,2
"Jun 18, 2025",06010714,Raspberries,97 gram,97.0,50,12,1,1,0,1,4,6
"Jun 18, 2025",06010714,Signature Select - California Style Vegetables,709 g,709.0,250,42,0,17,0,250,17,17
"Jun 18, 2025",06010714,"Chicken breast, grilled, skinless",151 g,151.0,266,0,8,45,145,533,0,0
"Jun 18, 2025",06010714,Cucumber,334 g,334.0,50,12,0,2,0,7,6,2
"Jun 18, 2025",06010714,"Spinach, raw, fresh",152 gram,152.0,35,6,1,4,0,120,1,3
"Jun 18, 2025",06010714,"Lentils, cooked",152 g,152.0,175,30,1,14,0,354,3,12
"Jun 18, 2025",06010714,Carrots,327 gram,327.0,134,31,1,3,0,226,15,9
"Jun 18, 2025",06010714,"Chicken breast, grilled, skinless",68 g,68.0,120,0,4,20,65,240,0,0
"Jun 18, 2025",06010714,Bob's Red Mill - Xanthan Gum,5 gram,5.0,17,4,0,0,0,144,0,4
"Jun 18, 2025",06010714,Optimum Nutrition - Protein,1 Scoop,,120,3,1,24,30,130,1,0
"Jun 18, 2025",06010714,Raspberries,256 gram,256.0,133,31,2,3,0,3,11,17
"Jun 18, 2025",06010714,Optimum Nutrition - Protein,2 Scoop,,240,6,2,48,60,260,2,0
"Jun 19, 2025",06010714,Signature Select - Clover Honey,20 g,20.0,57,16,0,0,0,0,16,0
"Jun 19, 2025",06010714,signature select - instant oatmeal,132 g,132.0,480,96,6,12,0,630,42,9
"Jun 19, 2025",06010714,"Chicken breast, grilled, skinless",150 g,150.0,264,0,8,44,144,530,0,0
"Jun 19, 2025",06010714,Optimum Nutrition - Protein,1 Scoop,,120,3,1,24,30,130,1,0
"Jun 19, 2025",06010714,Bob's Red Mill - Xantham Gum,13 gram,13.0,43,10,0,0,0,332,0,0
"Jun 19, 2025",06010714,Signature Select - Mixed Fruit,263 g,263.0,120,31,0,2,0,0,24,5
"Jun 19, 2025",06010714,"Chicken breast, grilled, skinless",96 g,96.0,169,0,5,28,92,339,0,0
"Jun 19, 2025",06010714,Cauliflower,647 gram,647.0,162,32,2,12,0,194,12,13
"Jun 19, 2025",06010714,Cucumber,347 g,347.0,52,13,0,2,0,7,6,2
"Jun 19, 2025",06010714,Carrots,153 gram,153.0,63,15,0,1,0,106,7,4
"Jun 19, 2025",06010714,"Chicken breast, grilled, skinless",132 g,132.0,232,0,7,39,127,466,0,0
"Jun 19, 2025",06010714,Optimum Nutrition - Protein,1 Scoop,,120,3,1,24,30,130,1,0
"Jun 20, 2025",06010714,Vanilla extract,0.25 tsp,1.25,3,0,0,0,0,0,0,0
"Jun 20, 2025",06010714,Bob's Red Mill - Xantham Gum,1 gram,1.0,3,1,0,0,0,26,0,0
"Jun 20, 2025",06010714,Fage - Total 0% Greek Yogurt,150 g,150.0,80,5,0,16,10,55,5,0
"Jun 20, 2025",06010714,Optimum Nutrition - Protein,1 Scoop,,120,3,1,24,30,130,1,0
"Jun 20, 2025",06010714,Signature Select - Mixed Fruit,258 g,258.0,117,30,0,2,0,0,23,5
"Jun 20, 2025",06010714,Sparkling Ice - Sparkling Ice Black Raspberry,34 oz,963.9000000000001,10,0,0,0,0,0,0,0
"Jun 20, 2025",06010714,Bragg - Nutritional Yeast,6 gram,6.0,24,2,0,4,0,0,0,1
"Jun 20, 2025",06010714,Del Cabo - Sugar Plum Grape Tomatoes,85 g,85.0,16,3,0,1,0,4,2,1
"Jun 20, 2025",06010714,"Chicken breast, grilled, skinless",166 g,166.0,292,0,9,49,159,586,0,0
